set,lvl,end,start,diff,stimulus,ptcp,accuracy
1,8,30114,29635,3.6015037593985,3,6,0
1,9,33857,33410,3.3609022556391,3,6,1
1,12,47048,46521,3.96240601503759,2,6,0
1,13,50902,50212,5.18796992481203,2,6,0
1,14,53825,53362,3.4812030075188,1,6,1
1,15,58410,57815,4.47368421052632,3,6,0
1,16,61900,61303,4.48872180451128,3,6,0
1,17,65056,64545,3.84210526315789,3,6,0
1,19,75382,74852,3.98496240601504,2,6,0
1,20,77994,77516,3.59398496240602,1,6,0
1,22,91308,90865,3.33082706766917,1,6,0
1,23,93797,93361,3.2781954887218,3,6,0
1,24,96031,95588,3.33082706766917,1,6,0
1,25,99022,98587,3.27067669172932,1,6,0
1,26,102110,101669,3.31578947368421,3,6,0
1,27,105988,105552,3.2781954887218,1,6,0
1,28,109183,108751,3.24812030075188,1,6,0
1,29,111302,110875,3.21052631578947,1,6,0
1,30,114688,114230,3.44360902255639,3,6,0
1,31,118678,118155,3.93233082706767,1,6,1
1,32,125099,124655,3.33834586466165,1,6,0
1,33,128548,128108,3.30827067669173,2,6,0
1,34,132019,131589,3.23308270676692,2,6,0
2,1,142069,141633,3.2781954887218,1,6,0
2,2,144454,144022,3.24812030075188,3,6,0
2,3,147450,147017,3.25563909774436,3,6,0
2,4,151101,150419,5.12781954887218,2,6,0
2,5,154165,153719,3.35338345864662,3,6,0
2,6,156280,155817,3.4812030075188,2,6,0
2,7,159524,159064,3.45864661654135,1,6,0
2,8,163314,162881,3.25563909774436,3,6,0
2,9,166346,165915,3.2406015037594,3,6,0
2,10,169925,169492,3.25563909774436,2,6,0
2,11,174611,174176,3.27067669172932,1,6,0
2,12,179607,179175,3.24812030075188,1,6,0
2,13,182098,181667,3.2406015037594,3,6,0
2,14,184900,184464,3.2781954887218,2,6,0
2,15,187576,186988,4.42105263157895,2,6,0
2,16,190018,189510,3.81954887218045,2,6,1
2,17,192958,192516,3.32330827067669,2,6,0
2,18,198100,197311,5.93233082706767,3,6,0
2,19,200522,200080,3.32330827067669,1,6,0
2,22,225462,225026,3.2781954887218,1,6,0
2,23,228027,227588,3.30075187969925,2,6,0
2,24,230463,230038,3.19548872180451,2,6,0
2,25,232695,232264,3.2406015037594,3,6,0
2,26,235104,234659,3.34586466165414,3,6,0
2,28,241121,240694,3.21052631578947,3,6,0
2,29,245770,245345,3.19548872180451,3,6,0
2,30,248641,248214,3.21052631578947,1,6,0
2,31,251605,251170,3.27067669172932,1,6,0
2,33,260032,259608,3.18796992481203,1,6,0
2,34,262706,262265,3.31578947368421,1,6,0
3,0,267607,267175,3.24812030075188,2,6,0
3,2,275796,275363,3.25563909774436,3,6,0
3,3,280498,280068,3.23308270676692,1,6,0
3,4,284456,284029,3.21052631578947,1,6,0
3,5,287407,286980,3.21052631578947,1,6,0
3,6,292599,292089,3.83458646616541,3,6,0
3,7,296964,296504,3.45864661654135,3,6,0
3,8,301121,300692,3.22556390977444,3,6,0
3,9,304636,304140,3.72932330827068,3,6,0
3,10,307647,307217,3.23308270676692,2,6,0
3,11,311895,311464,3.2406015037594,1,6,0
3,12,314666,314216,3.38345864661654,2,6,0
3,13,317679,317045,4.76691729323308,1,6,0
3,14,325402,324977,3.19548872180451,3,6,0
3,15,328448,328026,3.17293233082707,2,6,0
3,16,330628,330201,3.21052631578947,1,6,0
3,17,335246,334815,3.2406015037594,1,6,0
3,18,337987,337509,3.59398496240602,2,6,0
3,19,340278,339852,3.20300751879699,3,6,0
3,20,344166,343719,3.3609022556391,3,6,0
3,21,349257,348836,3.16541353383459,2,6,0
3,22,351568,351135,3.25563909774436,3,6,0
3,23,353695,353250,3.34586466165414,3,6,0
3,24,357410,356986,3.18796992481203,3,6,0
